iter,objective,gap,alpha
139,1.674900e+07,1.673760e-05,0.006589
140,1.674899e+07,1.912142e-05,0.009164
141,1.674899e+07,2.069816e-05,0.009033
142,1.674898e+07,1.804746e-05,0.006231
143,1.674898e+07,1.745115e-05,0.007881
144,1.674897e+07,2.072856e-05,0.009574
145,1.674897e+07,1.779107e-05,0.006596
146,1.674897e+07,2.055603e-05,0.008693
147,1.674896e+07,1.970625e-05,0.008308
148,1.674896e+07,1.481051e-05,0.005243
149,1.674895e+07,1.779681e-05,0.007782
150,1.674895e+07,1.699286e-05,0.006805
151,1.674895e+07,1.884558e-05,0.008795
152,1.674894e+07,1.683657e-05,0.004635
153,1.674894e+07,1.879044e-05,0.009197
154,1.674894e+07,1.732572e-05,0.006831
155,1.674893e+07,1.592317e-05,0.007858
156,1.674893e+07,1.855706e-05,0.006760
157,1.674892e+07,1.680159e-05,0.007898
158,1.674892e+07,1.779560e-05,0.006785
159,1.674892e+07,1.265166e-05,0.006128
160,1.674891e+07,1.578637e-05,0.005864
161,1.674891e+07,1.758248e-05,0.007916
162,1.674891e+07,1.557002e-05,0.006369
163,1.674891e+07,1.694169e-05,0.006675
164,1.674890e+07,1.660725e-05,0.006525
165,1.674890e+07,1.435670e-05,0.006770
166,1.674890e+07,1.399340e-05,0.006057
167,1.674889e+07,1.806814e-05,0.007269
168,1.674889e+07,1.620259e-05,0.007413
169,1.674889e+07,1.508180e-05,0.006372
170,1.674888e+07,1.327738e-05,0.003791
171,1.674888e+07,1.677374e-05,0.008605
172,1.674888e+07,1.694720e-05,0.006062
173,1.674888e+07,1.284460e-05,0.006370
174,1.674887e+07,1.583609e-05,0.005811
175,1.674887e+07,1.484858e-05,0.006145
176,1.674887e+07,1.576120e-05,0.007806
177,1.674886e+07,1.392050e-05,0.004305
178,1.674886e+07,1.398540e-05,0.006979
179,1.674886e+07,1.507182e-05,0.005751
180,1.674886e+07,1.532454e-05,0.008111
181,1.674885e+07,1.496643e-05,0.004961
182,1.674885e+07,1.663092e-05,0.008585
183,1.674885e+07,1.291447e-05,0.004852
184,1.674885e+07,1.525803e-05,0.005778
185,1.674884e+07,1.534519e-05,0.006257
186,1.674884e+07,1.376089e-05,0.005684
187,1.674884e+07,1.003694e-05,0.004547
188,1.674884e+07,1.390516e-05,0.007010
189,1.674883e+07,1.486856e-05,0.004613
190,1.674883e+07,1.420887e-05,0.006798
191,1.674883e+07,1.212784e-05,0.004622
192,1.674883e+07,1.490646e-05,0.007673
193,1.674882e+07,1.443480e-05,0.004512
194,1.674882e+07,1.290765e-05,0.005770
195,1.674882e+07,1.299205e-05,0.005398
196,1.674882e+07,1.380407e-05,0.007349
197,1.674882e+07,1.398940e-05,0.004871
198,1.674881e+07,1.223296e-05,0.004948
199,1.674881e+07,1.261986e-05,0.005382
200,1.674881e+07,1.060951e-05,0.004526
201,1.674881e+07,1.337647e-05,0.005322
202,1.674881e+07,1.328747e-05,0.005417
203,1.674880e+07,1.371384e-05,0.006133
