iter,objective,gap,alpha
139,1.265684e+06,3.119116e-05,0.006627
140,1.265684e+06,4.720023e-05,0.011026
141,1.265683e+06,3.016767e-05,0.006313
142,1.265683e+06,5.578406e-05,0.014414
143,1.265683e+06,2.568686e-05,0.004269
144,1.265683e+06,6.581315e-05,0.013019
145,1.265682e+06,1.964499e-05,0.004025
146,1.265682e+06,7.807844e-05,0.016148
147,1.265682e+06,2.278475e-05,0.003506
148,1.265682e+06,5.054735e-05,0.011388
149,1.265681e+06,2.281522e-05,0.004195
150,1.265681e+06,4.469671e-05,0.009515
151,1.265681e+06,2.029719e-05,0.003764
152,1.265681e+06,5.301042e-05,0.014120
153,1.265681e+06,2.253760e-05,0.003869
154,1.265680e+06,3.976112e-05,0.008074
155,1.265680e+06,1.881647e-05,0.003369
156,1.265680e+06,5.710388e-05,0.012908
157,1.265680e+06,2.337222e-05,0.004025
158,1.265680e+06,6.054147e-05,0.013677
159,1.265679e+06,2.229793e-05,0.003380
160,1.265679e+06,6.632445e-05,0.014040
161,1.265679e+06,2.240022e-05,0.003337
162,1.265679e+06,4.097438e-05,0.008316
163,1.265679e+06,2.132498e-05,0.004315
164,1.265678e+06,4.282270e-05,0.011996
165,1.265678e+06,2.844730e-05,0.004665
166,1.265678e+06,3.429868e-05,0.006664
167,1.265678e+06,3.595249e-05,0.007318
168,1.265678e+06,1.696029e-05,0.003139
169,1.265678e+06,5.377603e-05,0.013254
170,1.265678e+06,2.340600e-05,0.003747
171,1.265677e+06,5.235399e-05,0.013901
172,1.265677e+06,2.903892e-05,0.005388
173,1.265677e+06,3.095791e-05,0.005057
174,1.265677e+06,1.705186e-05,0.003211
175,1.265677e+06,1.483937e-05,0.003302
176,1.265677e+06,3.834386e-05,0.007321
177,1.265677e+06,3.147804e-05,0.005592
178,1.265676e+06,2.236867e-05,0.005806
179,1.265676e+06,1.683567e-05,0.002947
180,1.265676e+06,4.992826e-05,0.011097
181,1.265676e+06,2.699648e-05,0.004345
182,1.265676e+06,2.812190e-05,0.004918
183,1.265676e+06,2.973534e-05,0.007257
184,1.265676e+06,1.320749e-05,0.002359
185,1.265676e+06,5.144413e-05,0.012255
186,1.265675e+06,2.363942e-05,0.004017
187,1.265675e+06,4.117318e-05,0.009261
188,1.265675e+06,1.796615e-05,0.003519
189,1.265675e+06,2.677462e-05,0.005725
190,1.265675e+06,1.248779e-05,0.003138
191,1.265675e+06,1.555253e-05,0.003171
192,1.265675e+06,3.610286e-05,0.008595
193,1.265675e+06,1.798955e-05,0.003047
194,1.265675e+06,3.942653e-05,0.008120
195,1.265674e+06,1.738098e-05,0.003109
196,1.265674e+06,5.033646e-05,0.010906
197,1.265674e+06,2.186722e-05,0.003562
198,1.265674e+06,3.907353e-05,0.008636
199,1.265674e+06,2.322369e-05,0.003695
200,1.265674e+06,1.510233e-05,0.003495
201,1.265674e+06,3.321833e-05,0.007498
202,1.265674e+06,2.139948e-05,0.003633
203,1.265674e+06,1.475419e-05,0.003961
204,1.265673e+06,3.600676e-05,0.007233
205,1.265673e+06,2.841421e-05,0.005684
206,1.265673e+06,3.008411e-05,0.005563
207,1.265673e+06,1.567736e-05,0.002813
208,1.265673e+06,3.973404e-05,0.009996
209,1.265673e+06,2.344729e-05,0.003838
210,1.265673e+06,2.714245e-05,0.004822
211,1.265673e+06,3.577830e-05,0.008039
212,1.265673e+06,1.503325e-05,0.002733
213,1.265672e+06,4.072456e-05,0.011500
214,1.265672e+06,2.186567e-05,0.004221
215,1.265672e+06,3.431671e-05,0.007625
216,1.265672e+06,1.448227e-05,0.002392
217,1.265672e+06,2.753826e-05,0.006494
218,1.265672e+06,1.597813e-05,0.003435
219,1.265672e+06,1.513829e-05,0.003273
220,1.265672e+06,3.972199e-05,0.008230
221,1.265672e+06,1.613193e-05,0.002578
222,1.265672e+06,2.793308e-05,0.005018
223,1.265672e+06,2.731018e-05,0.006907
224,1.265671e+06,1.935366e-05,0.003966
225,1.265671e+06,3.346743e-05,0.008436
226,1.265671e+06,1.597609e-05,0.002597
227,1.265671e+06,3.824951e-05,0.008202
228,1.265671e+06,1.616129e-05,0.002617
229,1.265671e+06,4.334959e-05,0.008770
230,1.265671e+06,9.607534e-06,0.001515
