iter,objective,gap,alpha
139,8.279790e+05,3.727974e-05,0.007869
140,8.279785e+05,3.556696e-05,0.007602
141,8.279779e+05,4.175391e-05,0.008546
142,8.279771e+05,5.358357e-05,0.012440
143,8.279765e+05,4.535883e-05,0.009242
144,8.279760e+05,4.012744e-05,0.007454
145,8.279750e+05,6.145398e-05,0.015987
146,8.279745e+05,3.901897e-05,0.006263
147,8.279737e+05,5.502939e-05,0.012841
148,8.279733e+05,3.743191e-05,0.005745
149,8.279724e+05,5.759155e-05,0.014880
150,8.279720e+05,3.535636e-05,0.005620
151,8.279712e+05,5.583571e-05,0.012702
152,8.279708e+05,3.666644e-05,0.006796
153,8.279701e+05,4.823510e-05,0.011301
154,8.279697e+05,3.818200e-05,0.006900
155,8.279692e+05,3.836916e-05,0.007729
156,8.279687e+05,3.896035e-05,0.009032
157,8.279681e+05,4.958075e-05,0.011121
158,8.279676e+05,4.138051e-05,0.008273
159,8.279673e+05,2.906972e-05,0.004941
160,8.279668e+05,4.469820e-05,0.009404
161,8.279664e+05,3.680020e-05,0.006666
162,8.279661e+05,2.497290e-05,0.005208
163,8.279656e+05,4.442727e-05,0.010871
164,8.279652e+05,3.397531e-05,0.005307
165,8.279648e+05,4.337959e-05,0.010047
166,8.279644e+05,3.388881e-05,0.005592
167,8.279640e+05,4.096135e-05,0.009783
168,8.279636e+05,3.230192e-05,0.006055
169,8.279631e+05,4.635164e-05,0.011123
170,8.279627e+05,3.602635e-05,0.006321
171,8.279623e+05,3.287064e-05,0.007049
172,8.279619e+05,3.844804e-05,0.007609
173,8.279613e+05,4.933417e-05,0.012080
174,8.279610e+05,3.997410e-05,0.006361
175,8.279605e+05,3.940871e-05,0.009172
176,8.279602e+05,3.453515e-05,0.006650
177,8.279597e+05,4.361690e-05,0.010189
178,8.279593e+05,3.445251e-05,0.006131
179,8.279590e+05,3.071535e-05,0.007159
180,8.279587e+05,3.406808e-05,0.007261
181,8.279582e+05,3.645400e-05,0.007860
182,8.279579e+05,3.569177e-05,0.007203
183,8.279577e+05,2.366451e-05,0.004386
184,8.279574e+05,2.849740e-05,0.006504
185,8.279571e+05,3.495792e-05,0.006738
